smiles,pIC50
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN3CCC[C@@H](Cc4ccc(F)cc4)C3)c1,6.40
CC(=O)c1cccc(c1)c2cccc(c2)N3C=C(C(=O)Nc4nccc(Cl)c4Cl)C(=O)c5cccnc35,6.13
CC(=O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13,5.00
CC(=O)n1ccc2cc(ccc12)N3CCN(CCN4Cc5ccccc5C4)C3=O,5.00
CC(C(=O)N1CCN(CCc2ccc3C(=O)OCc3c2C)CC1)c4ccc(nc4C)n5cnnn5,5.47
CC(C(=O)N1CCN(CCc2ccc3C(=O)OCc3c2C)CC1)c4cnc(cc4C)n5cnnn5,4.38
CC(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4OCCCn4c5ccccc35)CC2)cc1,4.60
CC(C(O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2,7.00
CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(C)cc4,5.48
CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.07
CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4ccc5CCOCc5c4,4.80
CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4cccc(F)c4,5.00
CC(C(O)c1ccc2NC(=O)COc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.80
CC(C(O)c1ccc2NC(=O)N(C)Cc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.51
CC(C(O)c1ccc2NC(=O)NCc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.13
CC(C(O)c1ccc2NC(=O)OCc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.62
CC(C(O)c1ccc2NC(=O)Oc2c1)N3CCC(O)(CC3)c4ccc(F)cc4,5.59
CC(C)(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4OCCCn4c5ccccc35)CC2)cc1,4.16
CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,4.48
CC(C)(C)C(=O)CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,5.69
CC(C)(C)C(=O)N1CC(=C[C@H]1c2cccc(O)c2)c3cc(F)ccc3F,5.11
CC(C)(C)C(=O)N1CCC(CC1)c2ccc(cc2C(F)(F)F)C(=O)NC(=N)N,4.57
CC(C)(C)C(F)CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,5.33
CC(C)(C)C(O)CN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,5.32
CC(C)(C)C1(C)Cc2c(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(N)cn5)cccc2O1,4.68
CC(C)(C)C1CCC2(CC1)CCN(C(=O)N2Cc3ccc(cc3)C(=O)Nc4nn[nH]n4)c5ccc(OC(F)(F)F)cc5,5.27
CC(C)(C)CCN1CCC(CNC(=O)C2(CCCCC2)c3ccc(F)cc3)CC1,5.43
CC(C)(C)CCN1CCC(CNC(=O)Cc2ccc(cc2)C(C)(C)C)CC1,5.99
CC(C)(C)CCN1CCC(CNC(=O)Nc2cccc(Cl)c2)(CC1)c3ccccc3,7.06
CC(C)(C)CCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,5.71
CC(C)(C)CCN1CCC(CNC(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F)CC1,5.74
CC(C)(C)CCN1CCC(CNC(=O)c2ccc(Cl)c(Cl)c2)CC1,5.98
CC(C)(C)CCN1CCC(CNC(=O)c2cccc(Cl)c2)CC1,5.32
CC(C)(C)CCN1CC[C@@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1,5.52
CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1,5.39
CC(C)(C)CN([C@H]1CCNC1)C(=O)c2cccc(Cl)c2Cl,4.77
CC(C)(C)CN1CCC(CC1)c2ccccc2Oc3ncccc3NC(=O)Nc4ccc(OC(F)(F)F)cc4,5.34
CC(C)(C)CNc1nc(nc(N2CCOCC2)c1N)C#N,4.15
CC(C)(C)N1CCC(CC1)(c2ccccc2)c3ccccc3,6.07
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccc(F)cc3)C(=O)c4ccccc14,4.25
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cc(NS(=O)(=O)C)ccc14,4.82
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cc(O)ccc14,4.35
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cccc(O)c14,4.55
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4ccccc14,4.21
CC(C)(C)NC(=O)NCCN1CC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,4.89
CC(C)(C)NC(=O)NCCN1CCC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,5.18
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,5.24
CC(C)(C)NC(=O)NCCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,4.89
CC(C)(C)NC(=O)NCCN1CCCC(C1)NC(=O)c2cc(Cl)cc(Cl)c2,5.39
CC(C)(C)NC(=O)NCCN1CCCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,5.28
CC(C)(C)NC(=O)NCCN1CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1,5.80
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3ncn4CCCCc34,5.39
