SMILES,Name,pIC50
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,CHEMBL1382,7.3425
Cc1nc2n(c(=O)c1CCN1CCC(C3NOc4cc(F)ccc43)CC1)CCCC2,CHEMBL364512,6.82
COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,CHEMBL364912,5.11
O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,CHEMBL195235,5.01
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CHEMBL607,4.91333333333
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,5.40666666667
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CHEMBL596,5.74
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,CHEMBL1514,5.66
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL305660,6.32666666667
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,CHEMBL511142,5.11
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CHEMBL651,5.01
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1,CHEMBL196431,4.3
O=c1cc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2o1,CHEMBL194564,5.65
C[C@@H](c1ccc(-c2ccc(O)nc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL381145,5.08
Cc1c(Cl)ccc2c1N1[C@H](CNC[C@H]1C)C2,CHEMBL191054,5.6
Cc1ccc2c(n1)N1[C@@H](CNC[C@H]1C)C2,CHEMBL206845,4.68
